video_name,aircraft,visibility,mist,fog,haze,sky_cover_l1,cloud_height_l1,rain,snow,video_name_datetime
1_2022-09-02-16-06-35,6,10.0,False,False,False,CLR,M,False,False,2022-09-02 16:06:35+00:00
1_2022-09-02-16-38-31,4,10.0,False,False,False,CLR,M,False,False,2022-09-02 16:38:31+00:00
1_2022-09-02-17-16-42,5,10.0,False,False,False,CLR,M,False,False,2022-09-02 17:16:42+00:00
1_2022-09-02-17-22-09,5,10.0,False,False,False,CLR,M,False,False,2022-09-02 17:22:09+00:00
1_2022-09-02-17-43-54,4,10.0,False,False,False,CLR,M,False,False,2022-09-02 17:43:54+00:00
1_2022-09-02-17-49-22,8,10.0,False,False,False,CLR,M,False,False,2022-09-02 17:49:22+00:00
1_2022-09-02-18-34-47,5,10.0,False,False,False,CLR,M,False,False,2022-09-02 18:34:47+00:00
1_2022-09-02-18-46-58,5,10.0,False,False,False,CLR,M,False,False,2022-09-02 18:46:58+00:00
1_2022-09-02-19-16-21,2,10.0,False,False,False,CLR,M,False,False,2022-09-02 19:16:21+00:00
1_2022-09-02-19-44-14,2,10.0,False,False,False,CLR,M,False,False,2022-09-02 19:44:14+00:00
1_2022-09-03-07-18-46,1,10.0,False,False,False,CLR,M,False,False,2022-09-03 07:18:46+00:00
1_2022-09-03-07-24-52,1,10.0,False,False,False,CLR,M,False,False,2022-09-03 07:24:52+00:00
1_2022-09-03-07-30-22,1,10.0,False,False,False,CLR,M,False,False,2022-09-03 07:30:22+00:00
1_2022-09-03-07-54-19,3,10.0,False,False,False,CLR,M,False,False,2022-09-03 07:54:19+00:00
1_2022-09-03-07-59-47,4,10.0,False,False,False,CLR,M,False,False,2022-09-03 07:59:47+00:00
1_2022-09-03-08-14-18,1,10.0,False,False,False,CLR,M,False,False,2022-09-03 08:14:18+00:00
1_2022-09-03-08-23-33,2,10.0,False,False,False,CLR,M,False,False,2022-09-03 08:23:33+00:00
1_2022-09-03-08-59-26,2,10.0,False,False,False,SCT,9500,False,False,2022-09-03 08:59:26+00:00
